vivienda_id_sistema,familia_id_sistema,departamento,municipio,area,comuna_o_corregimiento,barrio_o_vereda,sector,ingresos_familiares,perros_machos,perros_hembras,perros_vacunados,perros_sin_vacunar,gatos_machos,gatos_hembras,gatos_vacunados,gatos_sin_vacunar,equinos,aves,porcinos,bovinos,otros,otros_nombre,presencia_roedores,perros_peligrosos,fecha_visita
6529,6537,66 - RISARALDA,001 - PEREIRA,U,BOSTON,LA LAGUNA *,LA LAGUNA *,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,1 - Si,2 - No,09/06/2022 12:00:00 AM
9294,9307,66 - RISARALDA,001 - PEREIRA,U,CUBA,BRISAS DEL CONSOTA,BRISAS DEL CONSOTA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,11/01/2022 12:00:00 AM
13601,15499,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,LAS BRISAS,BRISAS SECTOR A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/11/2022 12:00:00 AM
16991,22892,66 - RISARALDA,001 - PEREIRA,R,PUERTO CALDAS,PUERTO CALDAS,MARIA AUXILIADORA,2,2,0,2,0,0,0,0,0,0,0,0,0,11,Peces,1 - Si,,09/09/2022 12:00:00 AM
17276,23617,66 - RISARALDA,001 - PEREIRA,U,ORIENTE,BRISAS DEL OTUN= CHARCO NEGRO *,BRISAS DEL OTUN= CHARCO NEGRO *,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,11/01/2022 12:00:00 AM
18278,25913,66 - RISARALDA,001 - PEREIRA,R,PUERTO CALDAS,PUERTO CALDAS,PORVENIR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,11/01/2022 12:00:00 AM
18302,25944,66 - RISARALDA,001 - PEREIRA,R,PUERTO CALDAS,PUERTO CALDAS,SAN ISIDRO,1,1,0,1,0,0,0,0,0,0,14,0,0,0,,2 - No,,10/12/2022 12:00:00 AM
18678,26739,66 - RISARALDA,001 - PEREIRA,R,PUERTO CALDAS,PUERTO CALDAS,EL COFRE,1,2,0,2,0,0,0,0,0,0,0,0,0,0,,1 - Si,,09/14/2022 12:00:00 AM
21370,34141,66 - RISARALDA,001 - PEREIRA,R,PUERTO CALDAS,PUERTO CALDAS,EL COFRE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
21489,34783,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,VILLA SANTANA (INTERMEDIO) *,VILLA SANTANA (INTERMEDIO) *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,09/15/2022 12:00:00 AM
22105,37179,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,VILLA SANTANA (INTERMEDIO) *,VILLA SANTANA (INTERMEDIO) *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,09/15/2022 12:00:00 AM
